week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
7-Apr-18,2018,14,5632.0,5186.0,88.58
14-Apr-18,2018,15,3372.0,3372.0,101.7
21-Apr-18,2018,16,3674.0,3674.0,100.4
28-Apr-18,2018,17,11679.0,6821.0,96.01
5-May-18,2018,18,9073.6,7047.6,100.04
12-May-18,2018,19,11270.0,9290.0,95.87
19-May-18,2018,20,7990.0,6979.0,86.25
26-May-18,2018,21,13825.0,13429.0,91.77
2-Jun-18,2018,22,14533.0,11765.0,86.84
9-Jun-18,2018,23,11435.0,3910.0,81.0
16-Jun-18,2018,24,14324.0,13136.0,93.32
23-Jun-18,2018,25,16535.0,12200.0,93.69
30-Jun-18,2018,26,14630.0,9478.0,92.56
7-Jul-18,2018,27,12122.0,10171.0,92.11
14-Jul-18,2018,28,16577.0,11768.0,88.89
21-Jul-18,2018,29,22788.0,11662.0,81.09
28-Jul-18,2018,30,15804.0,2444.0,82.15
4-Aug-18,2018,31,15555.0,5670.0,86.55
11-Aug-18,2018,32,5435.0,4260.0,85.5
18-Aug-18,2018,33,10061.0,7881.0,93.84
25-Aug-18,2018,34,10350.33,5937.0,88.63
1-Sep-18,2018,35,9707.0,7563.0,84.77
8-Sep-18,2018,36,6384.0,5719.0,87.71
15-Sep-18,2018,37,5440.0,3460.0,92.01
22-Sep-18,2018,38,983.0,588.0,105.33
29-Sep-18,2018,39,7828.0,6148.0,86.31
6-Oct-18,2018,40,4062.0,3716.0,97.24
13-Oct-18,2018,41,2522.0,2522.0,96.46
20-Oct-18,2018,42,9710.0,7238.0,99.42
27-Oct-18,2018,43,8336.0,7319.0,99.96
3-Nov-18,2018,44,11588.0,10200.0,100.12
10-Nov-18,2018,45,9268.0,7386.0,100.0
17-Nov-18,2018,46,12774.0,11286.0,98.5
24-Nov-18,2018,47,17952.0,13841.0,100.67
1-Dec-18,2018,48,10939.0,9065.0,94.54
8-Dec-18,2018,49,8528.0,6748.0,100.18
15-Dec-18,2018,50,9746.0,8804.0,94.63
22-Dec-18,2018,51,9872.0,7642.0,95.2
29-Dec-18,2018,52,9382.0,7731.33,96.67
5-Jan-19,2019,1,7615.0,5289.0,95.34
12-Jan-19,2019,2,10262.0,9471.0,95.21
19-Jan-19,2019,3,6276.0,2474.0,101.45
26-Jan-19,2019,4,7995.0,7603.0,100.68
2-Feb-19,2019,5,5934.0,4254.0,106.75
9-Feb-19,2019,6,11351.0,10063.0,97.25
16-Feb-19,2019,7,7779.0,6961.0,102.41
23-Feb-19,2019,8,14016.0,12582.0,98.46
2-Mar-19,2019,9,7847.0,7109.0,95.8
9-Mar-19,2019,10,9541.0,8253.0,92.45
16-Mar-19,2019,11,5705.0,2938.0,98.42
23-Mar-19,2019,12,2918.0,2918.0,102.3
30-Mar-19,2019,13,12002.0,10718.0,99.61
6-Apr-19,2019,14,1288.0,1288.0,101.23
13-Apr-19,2019,15,8764.0,6980.0,99.13
20-Apr-19,2019,16,7351.33,6328.67,99.99
27-Apr-19,2019,17,12737.0,5088.0,97.79
4-May-19,2019,18,8507.0,6904.0,100.96
11-May-19,2019,19,12606.0,9085.0,101.94
18-May-19,2019,20,7420.0,4460.0,100.89
25-May-19,2019,21,11398.0,3674.0,97.99
1-Jun-19,2019,22,10602.0,3870.0,94.98
8-Jun-19,2019,23,13518.0,3602.0,91.09
15-Jun-19,2019,24,15126.0,3045.0,95.08
22-Jun-19,2019,25,16876.0,6017.0,94.35
